seller_state,customer_state,seller_lat,seller_lon,customer_lat,customer_lon,distancia_km_estado_api,tiempo_min_estado_api
ES,PI,-20.226267289831803,-40.387405884400685,-5.445069601178928,-42.63079628237705,2077.248,1802.5666666666666
ES,PR,-20.226267289831803,-40.387405884400685,-24.90691454342181,-50.609280255724634,1516.728,1199.5166666666667
ES,RJ,-20.226267289831803,-40.387405884400685,-22.82382338311478,-43.149285809858725,537.374,452.6666666666667
ES,RN,-20.226267289831803,-40.387405884400685,-5.877178040487796,-35.78408280910874,2081.827,1880.45
ES,RO,-20.226267289831803,-40.387405884400685,-9.806761486818301,-63.02840103355963,3399.431,2831.6666666666665
ES,RS,-20.226267289831803,-40.387405884400685,-29.718839490402164,-51.95608564360721,2173.688,1654.5166666666667
ES,SC,-20.226267289831803,-40.387405884400685,-27.218038920844723,-49.48212805960794,1676.603,1335.9333333333334
ES,SE,-20.226267289831803,-40.387405884400685,-10.917756569914832,-37.14663957244331,1345.328,1199.0166666666667
ES,SP,-20.226267289831803,-40.387405884400685,-23.12163436196996,-47.07170455949694,1018.546,813.0166666666667
ES,TO,-20.226267289831803,-40.387405884400685,-9.86555699236114,-48.36818486950135,2141.957,1711.45
GO,AC,-16.68354215460362,-49.381153491849254,-9.872170669974457,-68.03347718953198,2891.109,2290.45
GO,AL,-16.68354215460362,-49.381153491849254,-9.649475616174817,-35.804476136486905,2109.697,1764.0833333333333
GO,AM,-16.68354215460362,-49.381153491849254,-3.2651316106555845,-60.14448913061501,5552.688,5932.133333333333
GO,AP,-16.68354215460362,-49.381153491849254,0.042907127758036116,-51.11287345865695,2525.083,3178.1666666666665
GO,BA,-16.68354215460362,-49.381153491849254,-13.168811510716369,-39.553189440104376,1460.112,1202.05
GO,CE,-16.68354215460362,-49.381153491849254,-4.1787898180713,-38.84914440855492,2212.873,1856.5166666666667
GO,DF,-16.68354215460362,-49.381153491849254,-15.813683037452757,-47.98760523145338,212.174,188.8
GO,ES,-16.68354215460362,-49.381153491849254,-20.226267289831803,-40.387405884400685,1418.342,1210.3333333333333
GO,GO,-16.68354215460362,-49.381153491849254,-16.68354215460362,-49.381153491849254,0.0,0.0
GO,MA,-16.68354215460362,-49.381153491849254,-3.4058375271605,-44.64292837876669,1925.521,1673.4166666666667
GO,MG,-16.68354215460362,-49.381153491849254,-19.8368783860845,-44.510639137486805,817.958,674.6166666666667
GO,MS,-16.68354215460362,-49.381153491849254,-20.575582054079366,-54.349280375688835,823.435,634.6333333333333
GO,MT,-16.68354215460362,-49.381153491849254,-14.384495553384413,-55.70381903559229,1027.415,803.9833333333333
GO,PA,-16.68354215460362,-49.381153491849254,-2.5779707785785626,-49.18814577989,,
GO,PB,-16.68354215460362,-49.381153491849254,-7.08222958978264,-35.47505093762009,2419.408,1996.9333333333334
GO,PE,-16.68354215460362,-49.381153491849254,-8.152025608548277,-35.496966580938214,2263.784,1899.8333333333333
GO,PI,-16.68354215460362,-49.381153491849254,-5.445069601178928,-42.63079628237705,1848.994,1491.4333333333334
GO,PR,-16.68354215460362,-49.381153491849254,-24.90691454342181,-50.609280255724634,1076.659,892.45
GO,RJ,-16.68354215460362,-49.381153491849254,-22.82382338311478,-43.149285809858725,1311.934,1002.1666666666666
GO,RN,-16.68354215460362,-49.381153491849254,-5.877178040487796,-35.78408280910874,2497.873,2067.9
GO,RO,-16.68354215460362,-49.381153491849254,-9.806761486818301,-63.02840103355963,2170.961,1724.2666666666667
